,arrays,cache_assoc,cache_bandwidth,cache_line_sz,cache_queue_size,cache_size,cycle_time,load_bandwidth,mat_size,memory_type,store_bandwidth,tlb_assoc,tlb_bandwidth,tlb_entries,tlb_max_outstanding_walks,tlb_page_size,unrolling_factor_norm,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,Runtime,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
20,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,64,8,3.51559,4.22511,0.709516,2.68399,1.25407,3.93806,8.16317,1179729,5898.645,67764.3,506723,105153,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,172918
21,"['A', 'I']",1,4,64,32,64kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,3.45484,4.16199,0.707149,3.35141,2.4606,5.81201,9.974,1200672,6003.36,67572.9,527162,189693,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,257266
22,"['A', 'I']",1,4,64,32,64kB,5,1,64,cache,1,0,1,0,4,4096,16,16,8,3.51564,4.22516,0.709516,3.41095,2.4606,5.87156,10.0967,1179713,5898.565,67764.3,506707,189693,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,257457
23,"['A', 'I']",1,4,64,32,64kB,5,1,64,cache,1,0,1,0,4,4096,16,64,8,3.51564,4.22516,0.709516,3.41095,2.4606,5.87156,10.0967,1179713,5898.565,67764.3,506707,189693,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,257457
24,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,16,3.71491,4.46421,0.749308,1.38725,0.356335,1.74358,6.2078,1096816,5484.08,72478.6,494364,27118.8,194,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99597.4
25,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,16,16,3.89484,4.64652,0.751674,1.45498,0.356335,1.81132,6.45784,1045754,5228.77,72670,444606,27118.8,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99788.8
26,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,64,16,3.89484,4.64652,0.751674,1.45498,0.356335,1.81132,6.45784,1045754,5228.77,72670,444606,27118.8,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99788.8
27,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,16,3.94589,4.69756,0.751674,2.46525,0.649817,3.11506,7.81263,1034423,5172.115,72670,428413,52485.5,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,125156
28,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,16,16,4.19658,4.95062,0.754041,2.62078,0.649817,3.2706,8.22121,973034,4865.17,72861.4,366718,52485.5,196,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,125347
29,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,64,16,4.19658,4.95062,0.754041,2.62078,0.649817,3.2706,8.22121,973034,4865.17,72861.4,366718,52485.5,196,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,125347
30,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,16,4.51392,5.22107,0.707149,3.28203,1.25407,4.53611,9.75717,910388,4551.94,67572.9,301390,105153,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,172726
31,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,16,16,4.61951,5.32902,0.709516,3.35939,1.25407,4.61346,9.94249,889425,4447.125,67764.3,280931,105153,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,172918
32,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,64,16,4.61951,5.32902,0.709516,3.35939,1.25407,4.61346,9.94249,889425,4447.125,67764.3,280931,105153,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,172918
33,"['A', 'I']",1,4,64,32,64kB,5,1,64,cache,1,0,1,0,4,4096,16,1,16,4.51402,5.22117,0.707149,4.16292,2.4606,6.62352,11.8447,910368,4551.84,67572.9,301370,189693,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,257266
34,"['A', 'I']",1,4,64,32,64kB,5,1,64,cache,1,0,1,0,4,4096,16,16,16,4.61959,5.32911,0.709516,4.26102,2.4606,6.72162,12.0507,889409,4447.045,67764.3,280915,189693,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,257457
35,"['A', 'I']",1,4,64,32,64kB,5,1,64,cache,1,0,1,0,4,4096,16,64,16,4.61959,5.32911,0.709516,4.26102,2.4606,6.72162,12.0507,889409,4447.045,67764.3,280915,189693,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,257457
36,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,4.30599,5.0553,0.749308,1.61037,0.356335,1.9667,7.022,944850,4724.25,72478.6,373590,27118.8,194,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99597.4
37,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,16,32,4.53771,5.29175,0.754041,1.69907,0.356335,2.05541,7.34716,895522,4477.61,72861.4,326533,27118.8,196,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99980.2
38,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,64,32,4.53771,5.29175,0.754041,1.69907,0.356335,2.05541,7.34716,895522,4477.61,72861.4,326533,27118.8,196,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99980.2
39,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,4.57232,5.32399,0.751674,2.85952,0.649817,3.50934,8.83333,891796,4458.98,72670,315635,52485.5,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,125156
40,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,16,32,4.9007,5.65474,0.754041,3.06597,0.649817,3.71578,9.37052,831747,4158.735,72861.4,254924,52485.5,196,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,125347
41,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,64,32,4.9007,5.65474,0.754041,3.06597,0.649817,3.71578,9.37052,831747,4158.735,72861.4,254924,52485.5,196,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,125347
42,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,5.36828,6.07543,0.707149,3.9046,1.25407,5.15867,11.2341,765233,3826.165,67572.9,188491,105153,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,172726
43,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,16,32,5.51856,6.22807,0.709516,4.01457,1.25407,5.26864,11.4967,744270,3721.35,67764.3,168032,105153,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,172918
44,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,64,32,5.51856,6.22807,0.709516,4.01457,1.25407,5.26864,11.4967,744270,3721.35,67764.3,168032,105153,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,172918
45,"['A', 'I']",1,4,64,32,64kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,5.3684,6.07555,0.707149,4.95257,2.4606,7.41317,13.4887,765216,3826.08,67572.9,188474,189693,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,257266
46,"['A', 'I']",1,4,64,32,64kB,5,1,64,cache,1,0,1,0,4,4096,16,16,32,5.51865,6.22817,0.709516,5.09204,2.4606,7.55264,13.7808,744257,3721.285,67764.3,168019,189693,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,257457
47,"['A', 'I']",1,4,64,32,64kB,5,1,64,cache,1,0,1,0,4,4096,16,64,32,5.51865,6.22817,0.709516,5.09204,2.4606,7.55264,13.7808,744257,3721.285,67764.3,168019,189693,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,257457
48,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,4.72847,5.48015,0.751674,1.77243,0.356335,2.12876,7.60891,858459,4292.295,72670,301513,27118.8,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99788.8
49,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,16,64,4.97838,5.73243,0.754041,1.87044,0.356335,2.22677,7.9592,813476,4067.38,72861.4,260270,27118.8,196,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99980.2
50,"['A', 'I']",1,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,64,64,4.97838,5.73243,0.754041,1.87044,0.356335,2.22677,7.9592,813476,4067.38,72861.4,260270,27118.8,196,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99980.2
51,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.01833,5.77001,0.751674,3.14375,0.649817,3.79357,9.56358,811167,4055.835,72670,250871,52485.5,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,125156
52,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,16,64,5.38977,6.14381,0.754041,3.38294,0.649817,4.03276,10.1766,753814,3769.07,72861.4,192850,52485.5,196,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,125347
53,"['A', 'I']",1,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,64,64,5.38977,6.14381,0.754041,3.38294,0.649817,4.03276,10.1766,753814,3769.07,72861.4,192850,52485.5,196,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,125347
54,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.93205,6.6392,0.707149,4.31367,1.25407,5.56774,12.2069,692665,3463.325,67572.9,132039,105153,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,172726
55,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,16,64,6.11616,6.82568,0.709516,4.44829,1.25407,5.70236,12.528,671702,3358.51,67764.3,111580,105153,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,172918
56,"['A', 'I']",1,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,64,64,6.11616,6.82568,0.709516,4.44829,1.25407,5.70236,12.528,671702,3358.51,67764.3,111580,105153,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,172918
57,"['A', 'I']",1,4,64,32,64kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.93224,6.63939,0.707149,5.47144,2.4606,7.93204,14.5714,692649,3463.245,67572.9,132023,189693,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,257266
58,"['A', 'I']",1,4,64,32,64kB,5,1,64,cache,1,0,1,0,4,4096,16,16,64,6.11633,6.82584,0.709516,5.64217,2.4606,8.10277,14.9286,671690,3358.45,67764.3,111568,189693,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,257457
59,"['A', 'I']",1,4,64,32,64kB,5,1,64,cache,1,0,1,0,4,4096,16,64,64,6.11633,6.82584,0.709516,5.64217,2.4606,8.10277,14.9286,671690,3358.45,67764.3,111568,189693,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,257457
