,arrays,cache_assoc,cache_bandwidth,cache_line_sz,cache_queue_size,cache_size,cycle_time,load_bandwidth,mat_size,memory_type,store_bandwidth,tlb_assoc,tlb_bandwidth,tlb_entries,tlb_max_outstanding_walks,tlb_page_size,unrolling_factor_norm,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
0,"['A', 'I']",1,4,64,32,8kB,1,1,64,cache,1,0,1,0,4,4096,16,1,4,11.8937,13.1034,1.20978,3.13277,0.356335,3.4891,16.5925,2785680,95497.4,1973194,27118.8,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,122616
1,"['A', 'I']",1,4,64,32,8kB,2,1,64,cache,1,0,1,0,4,4096,16,1,4,5.73825,6.54827,0.810019,1.92247,0.356335,2.2788,8.82707,2269706,77472.1,1472397,27118.8,195,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,104591
2,"['A', 'I']",1,4,64,32,8kB,4,1,64,cache,1,0,1,0,4,4096,16,1,4,2.6077,3.37645,0.768744,1.0639,0.356335,1.42024,4.79668,2050674,74511.7,1254743,27118.8,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,101630
3,"['A', 'I']",1,4,64,32,8kB,8,1,64,cache,1,0,1,0,4,4096,16,1,4,1.82087,2.5714,0.750535,0.565357,0.356335,0.921691,3.49309,1929506,72588.2,1132697,27118.8,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99707
4,"['A', 'I']",1,4,64,32,8kB,16,1,64,cache,1,0,1,0,4,4096,16,1,4,1.89555,2.64372,0.748169,0.293941,0.356335,0.650275,3.29399,1855577,72396.8,1055971,27118.8,194,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,99515.6
