,arrays,cache_assoc,cache_bandwidth,cache_line_sz,cache_queue_size,cache_size,cycle_time,load_bandwidth,mat_size,memory_type,store_bandwidth,tlb_assoc,tlb_bandwidth,tlb_entries,tlb_max_outstanding_walks,tlb_page_size,unrolling_factor_num,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
0,"['A', 'I']",1,4,64,32,8kB,5,1,32,cache,1,0,1,0,4,4096,16,1,16,4.07696,4.56639,0.489431,1.51351,0.356335,1.86984,6.43623,125879,49963.5,47069,27118.8,102,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,77082.3
1,"['A', 'I']",1,4,64,32,8kB,5,1,32,cache,1,0,1,0,4,4096,16,8,16,4.26387,4.75567,0.491798,1.58307,0.356335,1.9394,6.69507,120348,50154.9,41783,27118.8,103,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,77273.8
2,"['A', 'I']",1,16,64,32,8kB,5,1,32,cache,1,0,1,0,4,4096,16,1,16,4.07696,4.56639,0.489431,1.51351,0.356335,1.86984,6.43623,125879,49963.5,47069,27118.8,102,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,77082.3
3,"['A', 'I']",1,16,64,32,8kB,5,1,32,cache,1,0,1,0,4,4096,16,8,16,4.26387,4.75567,0.491798,1.58307,0.356335,1.9394,6.69507,120348,50154.9,41783,27118.8,103,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,77273.8
4,"['A', 'I']",1,4,64,32,16kB,5,1,32,cache,1,0,1,0,4,4096,16,1,16,4.08345,4.57288,0.489431,2.54281,0.649817,3.19263,7.7655,125679,49963.5,46869,52485.5,102,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,102449
5,"['A', 'I']",1,4,64,32,16kB,5,1,32,cache,1,0,1,0,4,4096,16,8,16,4.27011,4.74671,0.476593,2.65934,0.649817,3.30916,8.05586,120172,48091.3,41607,52485.5,103,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,100577
6,"['A', 'I']",1,16,64,32,16kB,5,1,32,cache,1,0,1,0,4,4096,16,1,16,4.08345,4.57288,0.489431,2.54281,0.649817,3.19263,7.7655,125679,49963.5,46869,52485.5,102,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,102449
7,"['A', 'I']",1,16,64,32,16kB,5,1,32,cache,1,0,1,0,4,4096,16,8,16,4.27011,4.74671,0.476593,2.65934,0.649817,3.30916,8.05586,120172,48091.3,41607,52485.5,103,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,100577
8,"['A', 'I']",1,4,64,32,32kB,5,1,32,cache,1,0,1,0,4,4096,16,1,16,4.08345,4.57288,0.489431,2.98062,1.25407,4.23469,8.80757,125679,49963.5,46869,105153,102,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,155117
9,"['A', 'I']",1,4,64,32,32kB,5,1,32,cache,1,0,1,0,4,4096,16,8,16,4.27011,4.74671,0.476593,3.11721,1.25407,4.37128,9.11799,120172,48091.3,41607,105153,103,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,153245
10,"['A', 'I']",1,16,64,32,32kB,5,1,32,cache,1,0,1,0,4,4096,16,1,16,4.08345,4.57288,0.489431,2.98062,1.25407,4.23469,8.80757,125679,49963.5,46869,105153,102,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,155117
11,"['A', 'I']",1,16,64,32,32kB,5,1,32,cache,1,0,1,0,4,4096,16,8,16,4.27011,4.74671,0.476593,3.11721,1.25407,4.37128,9.11799,120172,48091.3,41607,105153,103,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,153245
12,"['A', 'I']",1,4,64,32,8kB,10,1,32,cache,1,0,1,0,4,4096,16,1,16,4.22047,4.71939,0.498922,0.756484,0.356335,1.11282,5.83221,125924,52027.5,47114,27118.8,102,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,79146.3
13,"['A', 'I']",1,4,64,32,8kB,10,1,32,cache,1,0,1,0,4,4096,16,8,16,4.41391,4.91518,0.501277,0.791192,0.356335,1.14753,6.06271,120400,52218.9,41834,27118.8,103,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,79337.7
14,"['A', 'I']",1,16,64,32,8kB,10,1,32,cache,1,0,1,0,4,4096,16,1,16,4.22047,4.71939,0.498922,0.756484,0.356335,1.11282,5.83221,125924,52027.5,47114,27118.8,102,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,79146.3
15,"['A', 'I']",1,16,64,32,8kB,10,1,32,cache,1,0,1,0,4,4096,16,8,16,4.41391,4.91518,0.501277,0.791192,0.356335,1.14753,6.06271,120400,52218.9,41834,27118.8,103,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,79337.7
16,"['A', 'I']",1,4,64,32,16kB,10,1,32,cache,1,0,1,0,4,4096,16,1,16,4.22561,4.72453,0.498922,1.27048,0.649817,1.92029,6.64482,125771,52027.5,46961,52485.5,102,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,104513
17,"['A', 'I']",1,4,64,32,16kB,10,1,32,cache,1,0,1,0,4,4096,16,8,16,4.41886,4.90488,0.486022,1.32864,0.649817,1.97846,6.88334,120265,50155.3,41699,52485.5,103,2,4,4,./outputs/mat_inv-gem5-accel,mat_inv,102641
18,"['A', 'I']",1,16,64,32,16kB,10,1,32,cache,1,0,1,0,4,4096,16,1,16,4.22561,4.72453,0.498922,1.27048,0.649817,1.92029,6.64482,125771,52027.5,46961,52485.5,102,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,104513
