,arrays,cache_assoc,cache_bandwidth,cache_line_sz,cache_queue_size,cache_size,cycle_time,load_bandwidth,mat_size,memory_type,store_bandwidth,tlb_assoc,tlb_bandwidth,tlb_entries,tlb_max_outstanding_walks,tlb_page_size,unrolling_factor_norm,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
20,"['A', 'I']",4,4,32,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,5.17022,5.90059,0.730376,4.71357,1.37533,6.0889,11.9895,804806,70947.3,215983,106213,186,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,177161
21,"['A', 'I']",4,4,32,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.3895,6.08008,0.690584,3.73908,0.378214,4.11729,10.1974,767346,66233,182787,33661.5,187,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,99894.5
22,"['A', 'I']",4,4,32,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.38931,6.0799,0.690584,4.26774,0.718668,4.98641,11.0663,767382,66233,182788,56038.4,187,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,122271
23,"['A', 'I']",4,4,32,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.38138,6.11176,0.730376,4.93464,1.37533,6.30998,12.4217,768750,70947.3,183956,106213,186,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,177161
24,"['A', 'I']",8,4,32,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.31462,3.00283,0.688217,1.78682,0.434469,2.22128,5.22412,1823217,66041.6,1008864,35278,186,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,101320
25,"['A', 'I']",8,4,32,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.31461,3.04499,0.730376,2.22554,0.758596,2.98414,6.02913,1823225,70947.3,1008875,56608.5,186,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,127556
26,"['A', 'I']",8,4,32,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.31718,3.04992,0.732742,2.58174,1.42058,4.00232,7.05224,1821756,71138.8,1007198,107519,187,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,178658
27,"['A', 'I']",8,4,32,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,3.35067,4.08341,0.732742,2.4039,0.434469,2.83837,6.92178,1241880,71138.8,556555,35278,187,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,106417
28,"['A', 'I']",8,4,32,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,3.35004,4.08279,0.732742,2.99552,0.758596,3.75411,7.8369,1242114,71138.8,556789,56608.5,187,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,127747
29,"['A', 'I']",8,4,32,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,3.35614,4.08651,0.730376,3.46398,1.42058,4.88456,8.97107,1240259,70947.3,554705,107519,186,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,178467
